亲水湾花园,http://nj.lianjia.com/ershoufang/103101048457.html,亲水湾花园 上元大街 河定桥 满五年,2室2厅,32081,309,96.32,中楼层/共7层,南 北,精装,2009,,江宁,百家湖,近1号线河定桥站
武夷绿洲品茗苑,http://nj.lianjia.com/ershoufang/103101120070.html,武夷绿洲品茗苑 3室2厅 320万,3室2厅,26014,320,123.01,高楼层/共11层,南 北,平层/毛坯,2009,,江宁,科学园,近1号线竹山路站
武夷绿洲赏桂苑,http://nj.lianjia.com/ershoufang/103100771644.html,竹山路地铁口 改善优选 婚装大三房 楼层好 带储藏室,3室2厅,26603,375,140.96,低楼层/共6层,南 北,平层/精装,2004,,江宁,科学园,近1号线竹山路站
武夷绿洲观竹苑,http://nj.lianjia.com/ershoufang/103100994714.html,武夷绿洲观竹苑 3室2厅 103平  265万,3室2厅,25728,265,103.0,低楼层/共6层,南 北,平层/简装,2007,,江宁,科学园,近1号线竹山路站
合班村122号,http://nj.lianjia.com/ershoufang/103101122778.html,合班村122号 2室2厅 229万,2室2厅,26594,229,86.11,高楼层/共6层,南 北,平层/精装,2008,,栖霞,迈皋桥,近1号线迈皋桥站
南方花园枫彩园,http://nj.lianjia.com/ershoufang/103100630845.html,通透性好 楼层好 满五年 采光不遮挡 有产权车位,2室2厅,26730,265,99.14,高楼层/共16层,南 北,平层/精装,2007,,江宁,岔路口,近1号线双龙大道站
南方花园枫彩园,http://nj.lianjia.com/ershoufang/103101094418.html,南方花园枫彩园 2室1厅 203万,2室1厅,25847,203,78.54,中楼层/共6层,南,平层/精装,2006,,江宁,岔路口,近1号线双龙大道站
西一新村,http://nj.lianjia.com/ershoufang/103100742339.html,西一新村 配套设施齐全 可以拎包入住,2室2厅,28575,228,79.79,高楼层/共30层,东北,平层/精装,2003,,秦淮,升州路,近1号线张府园站
武夷绿洲品茗苑,http://nj.lianjia.com/ershoufang/103100843255.html,武夷绿洲精装小三房 户型通透 离地铁站近,3室2厅,29297,285,97.28,高楼层/共6层,南 北,平层/精装,2009,,江宁,科学园,近1号线竹山路站
融侨世家,http://nj.lianjia.com/ershoufang/103101100319.html,融侨世家 3室2厅 222万,3室2厅,25048,222,88.63,低楼层/共18层,南,平层/精装,2011,,江宁,江宁大学城,近1号线龙眠大道站
南方花园C组团,http://nj.lianjia.com/ershoufang/103100580172.html,南方花园C组团 2室2厅 203万,2室2厅,27846,203,72.9,高楼层/共6层,南 北,平层/简装,2003,,江宁,岔路口,近1号线双龙大道站
文鼎雅苑,http://nj.lianjia.com/ershoufang/103100997219.html,挑高两室 交院地铁口 朝东 采光好 总价低,2室2厅,29782,130,43.65,中楼层/共11层,东,平层/其他,2011,,江宁,江宁大学城,近1号线南京交院站
天空之都,http://nj.lianjia.com/ershoufang/103100711067.html,满五年 洪武路 挑高户型 正南采光好 居家装修,1室1厅,37305,232,62.19,高楼层/共36层,南,跃层/简装,2004,,秦淮,新街口,近3号线常府街站
王府国际花园,http://nj.lianjia.com/ershoufang/103101041192.html,精装朝南 单室套  采光足  视野开阔,1室1厅,34052,180,52.86,中楼层/共12层,南,平层/精装,2004,,秦淮,新街口,近2号线上海路站
力联大厦,http://nj.lianjia.com/ershoufang/103100697240.html,力联大厦 2室2厅 304万,2室2厅,31144,304,97.61,中楼层/共31层,西南,平层/简装,2002,,秦淮,新街口,近3号线常府街站
蓝山国际公寓,http://nj.lianjia.com/ershoufang/103101119377.html,蓝山国际公寓 3室2厅 455万,3室2厅,39797,455,114.33,高楼层/共6层,南 北,其他,2006,,鼓楼,许府巷,近1号线新模范马路站
金鼎湾花园,http://nj.lianjia.com/ershoufang/103100929187.html,此房户型良好， 南北通透 ，小区环境优美。,3室2厅,43283,608,140.47,高楼层/共11层,南 北,平层/其他,2005,,秦淮,升州路,近1号线张府园站
南方花园枫彩园,http://nj.lianjia.com/ershoufang/103101101305.html,南方花园枫彩园 3室2厅 250万,3室2厅,26500,250,94.34,高楼层/共6层,南 北,其他,2006,,江宁,岔路口,近1号线双龙大道站
武夷绿洲观竹苑,http://nj.lianjia.com/ershoufang/103100822747.html,刚需两房 楼层好 采光充足 小区环境优美,2室1厅,28647,195,68.07,中楼层/共16层,南 北,平层/其他,2007,,江宁,科学园,近1号线竹山路站
桃园人家,http://nj.lianjia.com/ershoufang/103100859270.html,满五年 楼层好 采光充足 南北通透,3室2厅,36897,460,124.67,中楼层/共10层,南 北,平层/简装,2005,,秦淮,来凤里,近1号线三山街站
武夷绿洲品茗苑,http://nj.lianjia.com/ershoufang/103100755592.html,满五年 免增值税 精装修小三房 采光充足,3室1厅,27010,265,98.11,高楼层/共11层,南 北,平层/精装,2009,,江宁,科学园,近1号线竹山路站
21世纪国际公寓,http://nj.lianjia.com/ershoufang/103101100602.html,21世纪国际公寓 低总价 低单价 精装修 免增值税 诚售,1室1厅,29964,158,52.73,高楼层/共32层,东 北,平层/精装,2011,,江宁,百家湖,近1号线小龙湾站
