百市西苑,http://nj.lianjia.com/ershoufang/103100480856.html,百市西苑 6室2厅 706万,6室2厅,29961,706,235.64,高楼层/共6层,南,简装,2005,,鼓楼,龙江,近2号线汉中门站
梅花山庄湖畔之星,http://nj.lianjia.com/ershoufang/103100842135.html, 仁恒物业 视野开阔 中间楼层 采光好 配套完善,4室2厅,32016,530,165.54,中楼层/共23层,东南 北,平层/精装,2003,,秦淮,月牙湖,近2号线苜蓿园站
欧洲城凯旋丽都花园,http://nj.lianjia.com/ershoufang/103100655986.html,奥体 精装五房 诚心出售 配套齐 交通便利,5室2厅,39441,680,172.41,中楼层/共18层,南 北,平层/精装,2005,,建邺,兴隆大街,近10号线绿博园站
左邻右里,http://nj.lianjia.com/ershoufang/103100671525.html,轨道交通，小区环境绿化好，花园位置，采光不挡,5室3厅,20058,530,264.24,高楼层/共5层,南 北,毛坯,2008,,江宁,岔路口,近3号线宏运大道站
天地新城天权座,http://nj.lianjia.com/ershoufang/103100838877.html,天地新城 精装四房 南北通透 中间楼层,4室2厅,22901,342,149.34,中楼层/共6层,南 北,错层/精装,2003,,江宁,岔路口,N/A
漫城名苑,http://nj.lianjia.com/ershoufang/103100455759.html,满五年  居家装修 南北朝向 大四居,4室2厅,41309,635,153.72,中楼层/共18层,南 北,简装,2005,,鼓楼,凤凰西街,近2号线汉中门站
水月秦淮,http://nj.lianjia.com/ershoufang/103100736638.html,水月秦淮 河定桥 岔路口 顶跃 大复式 交通便利 ,4室3厅,19499,368,188.73,高楼层/共18层,南,跃层/其他,2007,,江宁,百家湖,N/A
枫丹白露枫丹花园,http://nj.lianjia.com/ershoufang/103100497472.html,满五年 带阁楼 精装修  南北通透 采光好,6室2厅,40361,420,104.06,高楼层/共6层,南 北,精装,2004,,秦淮,秦虹,近3号线武定门站
华汇康城,http://nj.lianjia.com/ershoufang/103100919221.html,此房满五年，免收增值税，采光充足。,6室2厅,16950,300,176.99,高楼层/共11层,南,毛坯,2009,,江宁,麒麟镇,N/A
燕语华庭,http://nj.lianjia.com/ershoufang/103100953500.html,燕语华庭 4室3厅 319万,4室3厅,33323,319,95.73,高楼层/共6层,南,跃层/精装,2002,,鼓楼,小市,近3号线小市站
华汇康城,http://nj.lianjia.com/ershoufang/103100849581.html,马群东，华汇顶跃精装房，上下两层送露台，采光好,6室3厅,20286,360,177.46,高楼层/共11层,南 北,精装,2009,,江宁,麒麟镇,N/A
翠屏东南,http://nj.lianjia.com/ershoufang/103100527290.html,翠屏东南正规大五房 南北通透 采光很好 环境幽静,5室2厅,18605,340,182.75,高楼层/共6层,南 北,平层/毛坯,2005,,江宁,将军大道,N/A
亚东城东区,http://nj.lianjia.com/ershoufang/103100225796.html,亚东城顶跃 2009年百万装修 双露台,5室2厅,26688,560,209.83,高楼层/共13层,南 北,精装,2007,,栖霞,仙林,N/A
威尼斯水城第十街区,http://nj.lianjia.com/ershoufang/103101053570.html,威尼斯十街区花园洋房 三房出售,4室2厅,23583,290,122.97,中楼层/共6层,南 北,简装,2010,,浦口,桥北,N/A
莱茵东郡,http://nj.lianjia.com/ershoufang/103100609309.html,此房满五，全明通透户型，实用面积大。,5室2厅,24527,408,166.35,低楼层/共3层,南 北,精装,2002,,江宁,科学园,近1号线天印大道站
天正滨江花园,http://nj.lianjia.com/ershoufang/103100607458.html,中高楼层 小区中间 纯毛坯 低密度 品质小区,4室2厅,47911,1250,260.9,中楼层/共18层,南 北,毛坯,2012,,建邺,奥体,近10号线绿博园站
奥体新城清竹园,http://nj.lianjia.com/ershoufang/103100400751.html,L型双阳台 南北通透大顶跃 不临街,5室3厅,43025,850,197.56,高楼层/共11层,南 北,简装,2005,,建邺,奥体,近10号线绿博园站
山水方舟,http://nj.lianjia.com/ershoufang/103100700561.html,小区环境优美  两面环水 配套齐  交通便利,5室3厅,21284,385,180.89,高楼层/共6层,南 北,毛坯,2007,,江宁,东山镇,N/A
长阳花园,http://nj.lianjia.com/ershoufang/103100308993.html,顶楼带阁楼 银城物业 小区好 南北通透,4室3厅,36973,580,156.87,高楼层/共6层,南 北,精装,2003,,鼓楼,龙江,近10号线绿博园站
江南文枢苑云泊居,http://nj.lianjia.com/ershoufang/103100546347.html,大平层  采光好 通透格局  视野开阔,5室2厅,17613,380,215.75,低楼层/共3层,南,平层/简装,2002,,江宁,将军大道,近S1机场线河海大学.佛城西路站
